sku,name,family,role,category,reason
"MV-0401-PRO","4-Input 4K60 Multiview Processor for NetworkHD","Multiview Processor","Multiview processor","Video processing","MV SKU prefix"
"MXV-0808-H2A-MK2","4K60 8x8 HDMI Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-MK2","4K60 8x8 HDMI Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"NHD-110-RX","1080p HD Low Bandwidth AV over IP Decoder - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-110-RX","1080p HD Low Bandwidth AV over IP Decoder - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX-S","NetworkHD 120 Series 4K30 4:2:0 Decoder with Sealoc Protection - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX-S","NetworkHD 120 Series 4K30 4:2:0 Decoder with Sealoc Protection - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-124-RACK-1U","1U 2-Slot Rack Mount for NetworkHD NHD-124-TX","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-124-RACK-1U","1U 2-Slot Rack Mount for NetworkHD NHD-124-TX","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-128-NDI-TRX","WyreStorm NHD-128-NDI-TRX 4K30 NDI to AV over IP Gateway","NetworkHD 100","NDI / NetworkHD gateway","AV-over-IP / NDI bridging","NHD-128-NDI SKU"
"NHD-128-NDI-TRX","WyreStorm NHD-128-NDI-TRX 4K30 NDI to AV over IP Gateway","NetworkHD 100","NDI / NetworkHD gateway","AV-over-IP / NDI bridging","NHD-128-NDI SKU"
"NHD-600-E-RX","4K60 4:4:4 SDVoE Decoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-E-RX","4K60 4:4:4 SDVoE Decoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-E-TX","4K60 4:4:4 SDVoE Encoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-E-TX","4K60 4:4:4 SDVoE Encoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"SWX-100-IW-UX","100m 4K60 HDBaseT 3.0 In-Wall KVM Extender with USB-C and HDMI","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"SWX-100-IW-UX","100m 4K60 HDBaseT 3.0 In-Wall KVM Extender with USB-C and HDMI","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
