sku,product_name,family,product_type,role,lifecycle_status,do_not_spec,successor,inputs,outputs,transport_type,resolution_bandwidth,usb,audio,control,network_requirement,dependencies,compatible_families,application_fit,disqualifiers,quote_warnings,evidence_source,last_reviewed,reviewer
CAB-HAOC-30-C,24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-30-c/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-30-P,24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm,Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-30-p/,2026-06-28,Wingman lifecycle migration
CAB-HAOC-4,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-haoc-4/,2026-06-28,Wingman lifecycle migration
CAB-HAOC-6,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-haoc-6/,2026-06-28,Wingman lifecycle migration
CAB-HAOC-8,"Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm",Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-haoc-8/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-FRL-10,10m/32ft HDMI 2.1 AOC,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
CAB-HAOC-FRL-15,15m/49ft HDMI 2.1 AOC,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
CAB-HAOC-FRL-XX,8K HDMI Cable - CAB‑HAOC‑FRL‑XX HDMI 2.1 Bandwidth 48Gbps | WyreStorm,Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-frl-xx/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-XX,"24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-xx/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-XX-C,24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm,Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-xx-c/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-XX-P,24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm,Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-xx-p/,2026-06-28,Wingman source migration (review required)
CAB-IR-LINK,IR Link Cable for Control System Integration - WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-ir-link/,2026-06-28,Wingman source migration (review required)
CAB-UAOC-15,4-Port USB 3.0 Superspeed Hub - WyreStorm,Cable,Cables,accessory,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/usb-hub4/,2026-06-28,Wingman source migration (review required)
CAB-UAOC-15-C,15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-uaoc-15-c/,2026-06-28,Wingman source migration (review required)
CAB-UAOC-15-P,15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm,Cable,Cables,cable,do-not-spec,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-uaoc-15-p/,2026-06-28,Wingman source migration (review required)
CAB-UAOC-USBC-10,USB 3.2 USB-C to USB-C Cable| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-uaoc-usbc-10/,2026-06-28,Wingman source migration (review required)
CAB-USBC-15,USB-C Active Optical Cable (15m/49ft) - WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-usbc-15/,2026-06-28,Wingman source migration (review required)
CAB-USBC-5M,USB 3.2 USB-C to USB-C Cable| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-usbc-5m/,2026-06-28,Wingman source migration (review required)
CAB-USBC-XM,USB 3.2 USB-C to USB-C Cable| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-usbc-xm/,2026-06-28,Wingman source migration (review required)
CAM-0402-BRG,4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm,Camera,Camera / capture,primary-hardware,active,false,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-0402-brg/,2026-06-28,Wingman source migration (review required)
CAM-0402-NDI-BRG,"4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm",Camera,Camera / capture,primary-hardware,active,false,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-0402-ndi-brg/,2026-06-28,Wingman source migration (review required)
CAM-200-PTZ,1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm,Camera,Camera / capture,primary-hardware,discontinued,true,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-200-ptz/,2026-06-28,Wingman lifecycle migration
CAM-210-NDI-PTZ,CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm,Camera,Camera / capture,primary-hardware,active,false,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-210-ndi-ptz/,2026-06-28,Wingman source migration (review required)
CAM-210-PTZ,PTZ Camera with AI Tracking | CAM-210-PTZ 1080p – WyreStorm,Camera,Camera / capture,primary-hardware,active,false,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-210-ptz/,2026-06-28,Wingman source migration (review required)
CAM-420-PTZ,4K Dual-Lens AI PTZ Camera with AI features - WyreStorm,Camera,Camera / capture,primary-hardware,active,false,,,,Camera / capture,,,,,,,,,,,https://www.wyrestorm.com/product/cam-420-ptz/,2026-06-28,Wingman source migration (review required)
COM-MIC-HUB,Microphone Hub - WyreStorm,Unclassified,General AV,primary-hardware,active,false,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/com-mic-hub/,2026-06-28,Wingman source migration (review required)
CON-H2-DD-EARC,"4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm",Unclassified,General AV,system-controller,discontinued,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/con-h2-dd-earc/,2026-06-28,Wingman lifecycle migration
CON-H2-EDID,4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm,Unclassified,General AV,system-controller,discontinued,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/con-h2-edid/,2026-06-28,Wingman lifecycle migration
CON-H2-SCL,4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm,Unclassified,General AV,system-controller,discontinued,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/con-h2-scl/,2026-06-28,Wingman lifecycle migration
EX-100-G2,"4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm",Extender,Extension,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-g2/,2026-06-28,Wingman source migration (review required)
EX-100-H2,100m 4K HDBaseT Extender with USB - WyreStorm,Extender,Extension,endpoint-hardware,discontinued,true,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-h2/,2026-06-28,Wingman lifecycle migration
EX-100-H2-EARC,100m 4K60 AVX Extender with eARC - WyreStorm,Extender,Extension,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-h2-earc/,2026-06-28,Wingman source migration (review required)
EX-100-IW-USBC,100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm,Extender,Extension,endpoint-hardware,review,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-iw-usbc/,2026-06-28,Wingman source migration (review required)
EX-100-KVM,WyreStorm EX-100-KVM 4K HDMI & USB KVM Extender over HDBaseT,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-kvm/,2026-06-28,Wingman source migration (review required)
EX-100-KVM-8K,"100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm",Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-kvm-8k/,2026-06-28,Wingman source migration (review required)
EX-100-KVM-IP,4K 30Hz KVM Extender over IP | EX-100-KVM-IP - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-kvm-ip/,2026-06-28,Wingman source migration (review required)
EX-100-USB3,USB 3.0 Extender | EX-100-USB3 Gen 1 Standard - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-100-usb3/,2026-06-28,Wingman source migration (review required)
EX-35-8K,"35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm",Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-35-8k/,2026-06-28,Wingman source migration (review required)
EX-35-G2,WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/exp-ex-35-g2/,2026-06-28,Wingman source migration (review required)
EX-35-H2,35m 4K60 HDBaseT Extender - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-35-h2/,2026-06-28,Wingman source migration (review required)
EX-35-H2-ARC,ARC HDMI Extender - EX-35-H2-ARC 18Gbps 4K HDR HDBaseT Extender - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-35-h2-arc/,2026-06-28,Wingman source migration (review required)
EX-40-G3,40m 1080p UTP Extender - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-40-g3/,2026-06-28,Wingman source migration (review required)
EX-40-H2-ARC,40m 4K HDBaseT Extender with ARC and Audio Breakout - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-40-h2-arc/,2026-06-28,Wingman source migration (review required)
EX-40-KVM-5K,5K30Hz HDBT 3.0 Box to Box Extender Kit - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-40-kvm-5k/,2026-06-28,Wingman source migration (review required)
EX-60-USB2,EX-60-USB2 USB 2.0 Extender over Cat6 with 4-Port Hub,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-60-usb2/,2026-06-28,Wingman source migration (review required)
EX-60D-KVM,60m Dual HDMI KVM Extender,Extender,Extension,primary-hardware,active,false,,,,Extension,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EX-70-G2,EX-70-G2 4K HDBaseT Extender Set with HDCP 2.2 & 2-way PoH - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-70-g2/,2026-06-28,Wingman source migration (review required)
EX-70-H2,4K HDBaseT Extender – High-Quality Video and Audio Transmission,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-70-h2/,2026-06-28,Wingman source migration (review required)
EX-70-H2C,EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-70-h2c/,2026-06-28,Wingman source migration (review required)
EX-70-H2X,70m 4K60 HDBaseT Extender with Ethernet - WyreStorm,Extender,Extension,primary-hardware,discontinued,true,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex-70-h2x/,2026-06-28,Wingman lifecycle migration
EX-80-KVM,WyreStorm Essentials 80m KVM UTP Extender - WyreStorm,Extender,Extension,power-accessory,discontinued,true,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/exp-ex-80-kvm/,2026-06-28,Wingman lifecycle migration
EX3-100-EARC,WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/ex3-100-earc/,2026-06-28,Wingman source migration (review required)
EXA-100-EARC,WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/exa-100-earc/,2026-06-28,Wingman source migration (review required)
EXF-10KM-5K,5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/exf-10km-5k/,2026-06-28,Wingman source migration (review required)
EXF-300-H2,WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber,Extender,Extension,endpoint-hardware,active,false,,,,Extension,,,,,,,,,,,https://www.wyrestorm.com/product/exf-300-h2/,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-05,0.5m/1.6ft HDMI 2.0 Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-10,1m/3ft HDMI 2.0 Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-20,2m/6.5ft HDMI 2.0 Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-30,3m/10ft HDMI 2.0 Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-50,5m/15ft HDMI 2.0 Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-4KUHD-X,4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm,Cable,Cables,cable,do-not-spec,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-4kuhd-x/,2026-06-28,Wingman source migration (review required)
EXP-8KUHD-05,0.5m/1.6ft HDMI 2.1 Cable,Cable,Cable / accessory,cable,do-not-spec,true,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-8KUHD-X,8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm,Cable,Cables,cable,do-not-spec,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-8kuhd-x/,2026-06-28,Wingman source migration (review required)
EXP-CAB-USBC-1M,1m/3.2ft USB-C to C Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-CAB-USBC-2M,2m/6.5ft USB-C to C Cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-CAB-USBC-5M,5m/16.40ft USB-C to C cable,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
EXP-CON-AUD-H2,WyreStorm Essentials™ HDMI Audio Extractor| WyreStorm,Unclassified,General AV,system-controller,do-not-spec,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/exp-con-aud-h2/,2026-06-28,Wingman source migration (review required)
EXP-CON-DAC,WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm,Unclassified,General AV,system-controller,do-not-spec,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/exp-con-dac/,2026-06-28,Wingman source migration (review required)
EXP-CON-DAC-D,WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm,Unclassified,General AV,system-controller,do-not-spec,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/exp-con-dac-d/,2026-06-28,Wingman source migration (review required)
EXP-CON-H2-DD,WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm,Unclassified,General AV,system-controller,do-not-spec,true,,,,General AV,,,,,,,,,,,https://www.wyrestorm.com/product/exp-con-h2-dd/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-100M,10 Meter High Speed HDMI Cable | WyreStorm,Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-10-0m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-150M,WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm,Cable,Cables,cable,review,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-15-0m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-CPL,WyreStorm Essentials HDMI Coupler - WyreStorm,Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-cpl/,2026-06-28,Wingman lifecycle migration
EXP-HDMI-DVI,WyreStorm Essentials DVI to HDMI - WyreStorm,Cable,Cables,cable,do-not-spec,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-dvi/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-H2-05M,HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-h2-0-5m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-H2-1M,HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-h2-1m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-H2-2M,HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-h2-2m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-H2-3M,HDMI Cable with CL3 Rating (3m/9.8ft)| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-h2-3m/,2026-06-28,Wingman source migration (review required)
EXP-HDMI-H2-5M,HDMI Cable with CL3 Rating | WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-hdmi-h2-5m/,2026-06-28,Wingman source migration (review required)
