sku,lifecycle_status,do_not_spec,successor,reason,evidence_source,last_reviewed,reviewer
APO-VX20-UC-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-DAOC-10-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-DAOC-10-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-10,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-20,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-20-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-20-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-30-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-30-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-4,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-6,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-8,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-FRL-10,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-FRL-15,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-FRL-XX,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-XX,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-XX-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-XX-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-IR-LINK,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-UAOC-15,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-UAOC-15-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-UAOC-15-P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-UAOC-USBC-10,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-USBC-15,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-USBC-5M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-USBC-XM,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-0402-BRG,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-0402-NDI-BRG,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-200-PTZ,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-210-NDI-PTZ,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-210-PTZ,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAM-420-PTZ,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
COM-MIC-HUB,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CON-H2-DD-EARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CON-H2-EDID,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CON-H2-SCL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-G2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-H2-EARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-IW-USBC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-KVM,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-KVM-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-KVM-IP,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-100-USB3,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-35-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-35-G2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-35-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-35-H2-ARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-40-G3,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-40-H2-ARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-40-KVM-5K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-60-USB2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-60D-KVM,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-70-G2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-70-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-70-H2C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-70-H2X,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX-80-KVM,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EX3-100-EARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXA-100-EARC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXF-10KM-5K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXF-300-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-05,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-10,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-20,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-30,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-50,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-4KUHD-X,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-8KUHD-05,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-8KUHD-X,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-1M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-2M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CAB-USBC-5M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-AUD-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-DAC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-DAC-D,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-CON-H2-DD,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-100M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-150M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-CPL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-DVI,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-H2-05M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-H2-1M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-H2-2M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-H2-3M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-H2-5M,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-RTA,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-USBC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-VGA,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-HDMI-XM-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-MX-0402-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-MX-0404-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-MX-0808-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0102-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0102-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0104-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0201-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0401-8K,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0401-H2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-100,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-180A,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-200,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-200-PRO,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-210,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-30,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-60,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-80,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-90,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-COM-MIC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-VX10-V1,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-VX10-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-WFA-130,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-WFA-290,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-200-MS,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-200-NA,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-200-XX,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-300,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-300-BTN,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-400-EU-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-400-MS,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-400-MS-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-400-NA,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-CBL-SPINE,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-HDMI-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-K2-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-PWR-SCH,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-PWR-UK,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-RJ45-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-SPINE,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-USBA-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
IDB-USBC-C,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
M4250-GSM4212PX-10P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
M4250-GSM4230PX-26P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
M4250-GSM4248PX-40P,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
M4300-XSM4316PA-16X,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
M4300-XSM4324CS-24X,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MV-0401-PRO,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0402-MST,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0403-H3-MST,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0404-HDBT-H2A-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0404-HDMI,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0404-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0404-SCL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0804-EDC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0808-H2A-MK2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0808-KIT-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0808-SCL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0808-SCL-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-0812-SCL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-1007-HYB,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-1010-H2XC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-1616-H2XC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MX-1616-SCL,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0404-H2A-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0404-H2A-KIT-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0408-H2A,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0408-H2A-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0606-H2A-70,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0606-H2A-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0606-H2A-V3,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-70-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-70-V3,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-KIT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-MK2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-V2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2A-V3,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-0808-H2L,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
MXV-70,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
NETWORKHDTOUCHTM,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
