"FileName","Count","Paths"
"build.txt","5","C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\build.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\build.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\build.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\build.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\build.txt"
"CABLE_ROUTING_GUIDE.md","2","C:\Users\steve\wingman\docs\guides\CABLE_ROUTING_GUIDE.md | C:\Users\steve\wingman\docs\strategy\legacy-guides\CABLE_ROUTING_GUIDE.md"
"CategoryMenu.tsx","2","C:\Users\steve\wingman\src\app\navigation\CategoryMenu.tsx | C:\Users\steve\wingman\src\components\nav\CategoryMenu.tsx"
"ComparisonTray.tsx","2","C:\Users\steve\wingman\src\app\ComparisonTray.tsx | C:\Users\steve\wingman\src\components\ComparisonTray.tsx"
"CompetitorComparePage.tsx","2","C:\Users\steve\wingman\src\features\compare\CompetitorComparePage.tsx | C:\Users\steve\wingman\src\pages\tools\CompetitorComparePage.tsx"
"CompetitorComparisonPage.tsx","2","C:\Users\steve\wingman\src\pages\CompetitorComparisonPage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\CompetitorComparisonPage.tsx"
"competitorComparisonService.ts","3","C:\Users\steve\wingman\src\features\competitor\competitorComparisonService.ts | C:\Users\steve\wingman\src\services\competitorComparisonService.ts | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\src\services\competitorComparisonService.ts"
"CompetitorMatchFinderPanel.tsx","3","C:\Users\steve\wingman\src\components\app\tools\competitor-compare\CompetitorMatchFinderPanel.tsx | C:\Users\steve\wingman\src\components\competitor\CompetitorMatchFinderPanel.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\competitor\CompetitorMatchFinderPanel.tsx"
"CostSummaryDisplay.tsx","2","C:\Users\steve\wingman\src\components\CostSummaryDisplay.tsx | C:\Users\steve\wingman\src\components\financials\CostSummaryDisplay.tsx"
"da.json","2","C:\Users\steve\wingman\src\hooks\locales\da.json | C:\Users\steve\wingman\src\locales\da.json"
"docxExporterPro.ts","2","C:\Users\steve\wingman\src\services\export\docxExporterPro.ts | C:\Users\steve\wingman\src\utils\docxExporterPro.ts"
"en-GB.json","2","C:\Users\steve\wingman\src\hooks\locales\en-GB.json | C:\Users\steve\wingman\src\locales\en-GB.json"
"en-US.json","2","C:\Users\steve\wingman\src\hooks\locales\en-US.json | C:\Users\steve\wingman\src\locales\en-US.json"
"env.txt","9","C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102703\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102752\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114910\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115924\env.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\env.txt"
"es.json","2","C:\Users\steve\wingman\src\hooks\locales\es.json | C:\Users\steve\wingman\src\locales\es.json"
"extractRequirements.ts","2","C:\Users\steve\wingman\src\app\import\extractRequirements.ts | C:\Users\steve\wingman\src\import\extractRequirements.ts"
"FeedbackModal.tsx","2","C:\Users\steve\wingman\src\app\FeedbackModal.tsx | C:\Users\steve\wingman\src\components\FeedbackModal.tsx"
"Footer.tsx","3","C:\Users\steve\wingman\src\app\components\Footer.tsx | C:\Users\steve\wingman\src\app\layout\Footer.tsx | C:\Users\steve\wingman\src\components\layout\Footer.tsx"
"fr.json","2","C:\Users\steve\wingman\src\hooks\locales\fr.json | C:\Users\steve\wingman\src\locales\fr.json"
"git.txt","9","C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102703\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102752\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114910\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115924\git.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\git.txt"
"Header.tsx","2","C:\Users\steve\wingman\src\app\layout\Header.tsx | C:\Users\steve\wingman\src\components\layout\Header.tsx"
"hero-logo.png","2","C:\Users\steve\wingman\src\assets\hero-logo.png | C:\Users\steve\wingman\src\assets\branding\hero-logo.png"
"heroLogo.png","3","C:\Users\steve\wingman\public\heroLogo.png | C:\Users\steve\wingman\src\assets\heroLogo.png | C:\Users\steve\wingman\src\assets\branding\heroLogo.png"
"HIGH_IMPACT_FEATURES.md","2","C:\Users\steve\wingman\docs\feature-specs\legacy-features\HIGH_IMPACT_FEATURES.md | C:\Users\steve\wingman\docs\features\HIGH_IMPACT_FEATURES.md"
"Icons.tsx","2","C:\Users\steve\wingman\src\app\Icons.tsx | C:\Users\steve\wingman\src\components\Icons.tsx"
"IMPLEMENTATION_SUMMARY.md","2","C:\Users\steve\wingman\docs\architecture\legacy-implementation\IMPLEMENTATION_SUMMARY.md | C:\Users\steve\wingman\docs\implementation\IMPLEMENTATION_SUMMARY.md"
"ImportIntakePage.tsx","2","C:\Users\steve\wingman\src\features\import\ImportIntakePage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\ImportIntakePage.tsx"
"index.ts","11","C:\Users\steve\wingman\src\context\index.ts | C:\Users\steve\wingman\src\core\engineering\index.ts | C:\Users\steve\wingman\src\core\engineering\explain\index.ts | C:\Users\steve\wingman\src\core\engineering\patterns\index.ts | C:\Users\steve\wingman\src\core\engineering\rules\index.ts | C:\Users\steve\wingman\src\core\engineering\validate\index.ts | C:\Users\steve\wingman\src\services\auth\index.ts | C:\Users\steve\wingman\src\services\database\index.ts | C:\Users\steve\wingman\src\state\index.ts | C:\Users\steve\wingman\src\utils\cableRouting\index.ts | C:\Users\steve\wingman\src\utils\types\index.ts"
"INFRASTRUCTURE_HYBRID_GUIDE.md","2","C:\Users\steve\wingman\docs\guides\INFRASTRUCTURE_HYBRID_GUIDE.md | C:\Users\steve\wingman\docs\strategy\legacy-guides\INFRASTRUCTURE_HYBRID_GUIDE.md"
"INTEGRATION_GUIDE.md","2","C:\Users\steve\wingman\docs\guides\INTEGRATION_GUIDE.md | C:\Users\steve\wingman\docs\strategy\legacy-guides\INTEGRATION_GUIDE.md"
"it.json","2","C:\Users\steve\wingman\src\hooks\locales\it.json | C:\Users\steve\wingman\src\locales\it.json"
"Logo.tsx","2","C:\Users\steve\wingman\src\app\layout\Logo.tsx | C:\Users\steve\wingman\src\components\layout\Logo.tsx"
"MobileNavMenu.tsx","2","C:\Users\steve\wingman\src\app\layout\MobileNavMenu.tsx | C:\Users\steve\wingman\src\components\layout\MobileNavMenu.tsx"
"NavDropdown.tsx","2","C:\Users\steve\wingman\src\app\layout\NavDropdown.tsx | C:\Users\steve\wingman\src\components\layout\NavDropdown.tsx"
"New Text Document.txt","6","C:\Users\steve\wingman\src\app\shell\New Text Document.txt | C:\Users\steve\wingman\src\context\New Text Document.txt | C:\Users\steve\wingman\src\features\projects\New Text Document.txt | C:\Users\steve\wingman\src\pages\New Text Document.txt | C:\Users\steve\wingman\src\ui2\components\New Text Document.txt | C:\Users\steve\wingman\tools\New Text Document.txt"
"nl.json","2","C:\Users\steve\wingman\src\hooks\locales\nl.json | C:\Users\steve\wingman\src\locales\nl.json"
"NotFoundPage.tsx","2","C:\Users\steve\wingman\src\app\system\NotFoundPage.tsx | C:\Users\steve\wingman\src\pages\NotFoundPage.tsx"
"PAGE_HEIGHT_FIX.md","2","C:\Users\steve\wingman\docs\change-log\legacy-fixes\PAGE_HEIGHT_FIX.md | C:\Users\steve\wingman\docs\fixes\PAGE_HEIGHT_FIX.md"
"pages.txt","9","C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102703\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102752\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114910\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115924\pages.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\pages.txt"
"PageShell.tsx","2","C:\Users\steve\wingman\src\app\layout\PageShell.tsx | C:\Users\steve\wingman\src\components\layout\PageShell.tsx"
"PlannerCanvas.tsx","2","C:\Users\steve\wingman\src\components\PlannerCanvas.tsx | C:\Users\steve\wingman\src\components\planner\PlannerCanvas.tsx"
"pricing.ts","3","C:\Users\steve\wingman\src\data\pricing.ts | C:\Users\steve\wingman\src\features\pricing\pricing.ts | C:\Users\steve\wingman\src\proposal\bom\pricing.ts"
"ProfileModal.tsx","4","C:\Users\steve\wingman\src\app\ProfileModal.tsx | C:\Users\steve\wingman\src\app\components\ProfileModal.tsx | C:\Users\steve\wingman\src\components\ProfileModal.tsx | C:\Users\steve\wingman\src\_legacy\components\ProfileModal.tsx"
"ProjectOverviewPage.tsx","2","C:\Users\steve\wingman\src\pages\ProjectOverviewPage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\ProjectOverviewPage.tsx"
"ProjectsPage.tsx","3","C:\Users\steve\wingman\src\features\projects\ProjectsPage.tsx | C:\Users\steve\wingman\src\pages\ProjectsPage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\ProjectsPage.tsx"
"projectsStore.ts","2","C:\Users\steve\wingman\src\state\projectsStore.ts | C:\Users\steve\wingman\src\state\app\projectsStore.ts"
"projectStore.ts","2","C:\Users\steve\wingman\src\features\projects\projectStore.ts | C:\Users\steve\wingman\src\services\database\ProjectStore.ts"
"ProposalBuilderPage.tsx","2","C:\Users\steve\wingman\src\features\proposals\ProposalBuilderPage.tsx | C:\Users\steve\wingman\src\pages\tools\ProposalBuilderPage.tsx"
"ProposalLayout.tsx","2","C:\Users\steve\wingman\src\app\layout\ProposalLayout.tsx | C:\Users\steve\wingman\src\components\layout\ProposalLayout.tsx"
"PublicLandingPage.tsx","2","C:\Users\steve\wingman\src\pages\PublicLandingPage.tsx | C:\Users\steve\wingman\src\pages\public\PublicLandingPage.tsx"
"PublicShell.tsx","2","C:\Users\steve\wingman\src\app\shell\PublicShell.tsx | C:\Users\steve\wingman\src\layout\PublicShell.tsx"
"QUICK_FIX_FOOTER.md","2","C:\Users\steve\wingman\docs\change-log\legacy-fixes\QUICK_FIX_FOOTER.md | C:\Users\steve\wingman\docs\fixes\QUICK_FIX_FOOTER.md"
"QUICK_WINS.md","2","C:\Users\steve\wingman\docs\feature-specs\legacy-features\QUICK_WINS.md | C:\Users\steve\wingman\docs\features\QUICK_WINS.md"
"README_NEW_FEATURES.md","2","C:\Users\steve\wingman\docs\feature-specs\legacy-features\README_NEW_FEATURES.md | C:\Users\steve\wingman\docs\features\README_NEW_FEATURES.md"
"RecentRouteTracker.tsx","4","C:\Users\steve\wingman\src\components\tools\RecentRouteTracker.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112351\RecentRouteTracker.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\src\components\tools\RecentRouteTracker.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\tools\RecentRouteTracker.tsx"
"recentTools.ts","2","C:\Users\steve\wingman\src\components\app\tools\recentTools.ts | C:\Users\steve\wingman\src\components\tools\recentTools.ts"
"recentTools.tsx","2","C:\Users\steve\wingman\src\components\app\tools\recentTools.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\app\tools\recentTools.tsx"
"recommendWyrestorm.ts","3","C:\Users\steve\wingman\src\app\import\recommendWyrestorm.ts | C:\Users\steve\wingman\src\import\recommendWyrestorm.ts | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\import\recommendWyrestorm.ts"
"recommendWyrestorm.tsx","2","C:\Users\steve\wingman\src\app\import\recommendWyrestorm.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\app\import\recommendWyrestorm.tsx"
"recovery.log.txt","4","C:\Users\steve\wingman\_RECOVERY_REPORTS\20260212_114541\recovery.log.txt | C:\Users\steve\wingman\_RECOVERY_REPORTS\20260212_114928\recovery.log.txt | C:\Users\steve\wingman\_RECOVERY_REPORTS\20260212_115426\recovery.log.txt | C:\Users\steve\wingman\_RECOVERY_REPORTS\20260212_122331\recovery.log.txt"
"RoomWizardPage.tsx","2","C:\Users\steve\wingman\src\features\roomwizard\RoomWizardPage.tsx | C:\Users\steve\wingman\src\pages\tools\RoomWizardPage.tsx"
"routes.txt","10","C:\Users\steve\wingman\_AUDITS\WingmanHealth_20260305_144251\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102703\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_102752\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114910\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115924\routes.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\routes.txt"
"ru.json","2","C:\Users\steve\wingman\src\hooks\locales\ru.json | C:\Users\steve\wingman\src\locales\ru.json"
"schemas.ts","2","C:\Users\steve\wingman\src\services\schemas.ts | C:\Users\steve\wingman\src\services\schemas\schemas.ts"
"SideNav.tsx","2","C:\Users\steve\wingman\src\app\navigation\SideNav.tsx | C:\Users\steve\wingman\src\components\nav\SideNav.tsx"
"SUMMARY.txt","5","C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_114620\SUMMARY.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115003\SUMMARY.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115233\SUMMARY.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_115504\SUMMARY.txt | C:\Users\steve\wingman\_AUDITS\Wingman_Audit_20260212_122405\SUMMARY.txt"
"technologyAnalyzer.ts","2","C:\Users\steve\wingman\src\utils\technologyAnalyzer.ts | C:\Users\steve\wingman\src\utils\cableRouting\technologyAnalyzer.ts"
"TemplatesPage.tsx","2","C:\Users\steve\wingman\src\features\misc\TemplatesPage.tsx | C:\Users\steve\wingman\src\features\tools\TemplatesPage.tsx"
"textExtractors.ts","2","C:\Users\steve\wingman\src\app\import\textExtractors.ts | C:\Users\steve\wingman\src\import\textExtractors.ts"
"theme.ts","2","C:\Users\steve\wingman\src\app\theme\theme.ts | C:\Users\steve\wingman\src\ui2\theme\theme.ts"
"ToolGrid.tsx","4","C:\Users\steve\wingman\src\components\app\tools\ToolGrid.tsx | C:\Users\steve\wingman\src\components\tools\ToolGrid.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\app\tools\ToolGrid.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\tools\ToolGrid.tsx"
"ToolHubPage.tsx","3","C:\Users\steve\wingman\src\features\tools\ToolHubPage.tsx | C:\Users\steve\wingman\src\pages\ToolHubPage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\ToolHubPage.tsx"
"TrainingHubPage.tsx","2","C:\Users\steve\wingman\src\features\misc\TrainingHubPage.tsx | C:\Users\steve\wingman\src\pages\tools\TrainingHubPage.tsx"
"tsconfig.typecheck.json","2","C:\Users\steve\wingman\tsconfig.typecheck.json | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\tsconfig.typecheck.json"
"types.ts","11","C:\Users\steve\wingman\src\catalog\types.ts | C:\Users\steve\wingman\src\competitor\types.ts | C:\Users\steve\wingman\src\components\types.ts | C:\Users\steve\wingman\src\core\engineering\types.ts | C:\Users\steve\wingman\src\core\engineering\rules\types.ts | C:\Users\steve\wingman\src\proposal\bom\types.ts | C:\Users\steve\wingman\src\services\auth\types.ts | C:\Users\steve\wingman\src\services\database\types.ts | C:\Users\steve\wingman\src\services\export\types.ts | C:\Users\steve\wingman\src\state\types.ts | C:\Users\steve\wingman\src\utils\cableRouting\types.ts"
"useLocalStorage.ts","2","C:\Users\steve\wingman\src\app\storage\useLocalStorage.ts | C:\Users\steve\wingman\src\hooks\useLocalStorage.ts"
"utilities.css","2","C:\Users\steve\wingman\src\styles\utilities.css | C:\Users\steve\wingman\_ARCHIVE_CSS_UNIFY\CssEngineeringUnify_20260302_072527\utilities.css"
"VideoWallPlannerPage.tsx","2","C:\Users\steve\wingman\src\features\misc\VideoWallPlannerPage.tsx | C:\Users\steve\wingman\src\pages\tools\VideoWallPlannerPage.tsx"
"WelcomeScreen.tsx","3","C:\Users\steve\wingman\src\features\misc\WelcomeScreen.tsx | C:\Users\steve\wingman\src\pages\WelcomeScreen.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\WelcomeScreen.tsx"
"wingman-install-and-recover.ps1","3","C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114522\tools\wingman-install-and-recover.ps1 | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114901\tools\wingman-install-and-recover.ps1 | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_115455\tools\wingman-install-and-recover.ps1"
"wingman.completion-checklist.json","2","C:\Users\steve\wingman\public\data\wingman.completion-checklist.json | C:\Users\steve\wingman\src\data\wingman.completion-checklist.json"
"WorkspaceHomePage.tsx","2","C:\Users\steve\wingman\src\pages\WorkspaceHomePage.tsx | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\WorkspaceHomePage.tsx"
"wyrestorm-wingman-logo.png","3","C:\Users\steve\wingman\public\wyrestorm-wingman-logo.png | C:\Users\steve\wingman\src\assets\wyrestorm-wingman-logo.png | C:\Users\steve\wingman\src\assets\branding\wyrestorm-wingman-logo.png"
"wyrestormSkuCatalog.2026.ts","2","C:\Users\steve\wingman\src\data\wyrestormSkuCatalog.2026.ts | C:\Users\steve\wingman\src\services\sku\wyrestormSkuCatalog.2026.ts"
"zh-CN.json","2","C:\Users\steve\wingman\src\hooks\locales\zh-CN.json | C:\Users\steve\wingman\src\locales\zh-CN.json"
