"Term","Path","LineNumber","Line"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","8","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"PublicLandingPage","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","30","<Route path=""/"" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\src\components\branding\BrandLogo.tsx","16","export default function PublicLandingPage() {"
"PublicLandingPage","C:\Users\steve\wingman\src\pages\public\PublicLandingPage.tsx","147","export default function PublicLandingPage() {"
"PublicLandingPage","C:\Users\steve\wingman\src\pages\Landing.tsx","3","import PublicLandingPage from ""./PublicLandingPage"";"
"PublicLandingPage","C:\Users\steve\wingman\src\pages\Landing.tsx","4","export default PublicLandingPage;"
"PublicLandingPage","C:\Users\steve\wingman\src\pages\PublicLandingPage.tsx","7","export default function PublicLandingPage() {"
"PublicLandingPage","C:\Users\steve\wingman\src\AppRoutes.tsx","8","const PublicLandingPage = React.lazy(() => import(""@/pages/PublicLandingPage""));"
"PublicLandingPage","C:\Users\steve\wingman\src\AppRoutes.tsx","58","<Route path=""/"" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","33","const LandingPage = lazy(() => import(""@/pages/Landing""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","45","<Route path=""/"" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","94","<Route path=""landing"" element={<LandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","46","<Route path=""/"" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"Landing","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","8","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"Landing","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","30","<Route path=""/"" element={<PublicLandingPage />} />"
"Landing","C:\Users\steve\wingman\src\app\routes\navConfig.ts","26","{ path: ""/"",       label: ""Landing"", group: ""Other"", nav: false, auth: false },"
"Landing","C:\Users\steve\wingman\src\app\shell\PublicShell.tsx","64","aria-label=""Go to public landing page"""
"Landing","C:\Users\steve\wingman\src\components\branding\BrandLogo.tsx","16","export default function PublicLandingPage() {"
"Landing","C:\Users\steve\wingman\src\layout\PublicShell.tsx","65","aria-label=""Go to public landing page"""
"Landing","C:\Users\steve\wingman\src\layout\PublicShell.tsx","66","title=""Go to public landing page"""
"Landing","C:\Users\steve\wingman\src\pages\public\PublicLandingPage.tsx","147","export default function PublicLandingPage() {"
"Landing","C:\Users\steve\wingman\src\pages\Landing.tsx","3","import PublicLandingPage from ""./PublicLandingPage"";"
"Landing","C:\Users\steve\wingman\src\pages\Landing.tsx","4","export default PublicLandingPage;"
"Landing","C:\Users\steve\wingman\src\pages\PublicLandingPage.tsx","7","export default function PublicLandingPage() {"
"Landing","C:\Users\steve\wingman\src\pages\WorkspaceHomePage.tsx","67","Public landing"
"Landing","C:\Users\steve\wingman\src\AppRoutes.tsx","8","const PublicLandingPage = React.lazy(() => import(""@/pages/PublicLandingPage""));"
"Landing","C:\Users\steve\wingman\src\AppRoutes.tsx","58","<Route path=""/"" element={<PublicLandingPage />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","34","const WelcomeScreenPage = lazy(() => import(""@/pages/WelcomeScreen""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","95","<Route path=""welcome"" element={<WelcomeScreenPage />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""@/pages/WelcomeScreen""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","47","<Route path=""/welcome"" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","10","const WelcomeScreen = lazy(() => import(""""@/pages/WelcomeScreen""""));"
"WelcomeScreen","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","55","<Route path=""""/welcome"""" element={<WelcomeScreen />} />"
"WelcomeScreen","C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\WelcomeScreen.tsx","8","const WelcomeScreen: React.FC = () => {"
"WelcomeScreen","C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\WelcomeScreen.tsx","43","export default WelcomeScreen;"
"WelcomeScreen","C:\Users\steve\wingman\src\features\misc\WelcomeScreen.tsx","2","// src/features/misc/WelcomeScreen.tsx"
"WelcomeScreen","C:\Users\steve\wingman\src\features\misc\WelcomeScreen.tsx","6","export default function WelcomeScreen() {"
"WelcomeScreen","C:\Users\steve\wingman\src\pages\WelcomeScreen.tsx","7","export default function WelcomeScreen() {"
"WelcomeScreen","C:\Users\steve\wingman\src\pages\WorkspaceHomePage.tsx","7","export default function WelcomeScreen() {"
"PublicAboutPage","C:\Users\steve\wingman\src\pages\public\PublicAboutPage.tsx","2","// src/pages/public/PublicAboutPage.tsx"
"PublicAboutPage","C:\Users\steve\wingman\src\pages\public\PublicAboutPage.tsx","166","export default function PublicAboutPage() {"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""@/pages/DashboardPage""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","71","<Route path=""dashboard"" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""@/pages/DashboardPage""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","76","<Route path=""dashboard"" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","13","const DashboardPage = lazy(() => import(""""@/pages/DashboardPage""""));"
"DashboardPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx","84","<Route path=""""dashboard"""" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","20","const DashboardPage = lazy(() => import(""@/pages/DashboardPage""));"
"DashboardPage","C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx","50","<Route path=""/app/dashboard"" element={<DashboardPage />} />"
"DashboardPage","C:\Users\steve\wingman\src\features\dashboard\DashboardPage.tsx","43","export default function DashboardPage() {"
"DashboardPage","C:\Users\steve\wingman\src\AppRoutes.tsx","13","const DashboardPage = React.lazy(() => import(""@/features/dashboard/DashboardPage""));"
"DashboardPage","C:\Users\steve\wingman\src\AppRoutes.tsx","67","<Route path=""dashboard"" element={<DashboardPage />} />"
