"Hash","Copies","BytesEach","Path"
"06AFA56AB658A05909504F0E2E78F8DFF7409F7A1CA8E7FD05D838FFC9282698","4","6642",".wingman-work\backups\20260811-125346\src\wingman2\lib\productSelectorEngine.test.ts"
"06AFA56AB658A05909504F0E2E78F8DFF7409F7A1CA8E7FD05D838FFC9282698","4","6642",".wingman-work\backups\20260811-125821\src\wingman2\lib\productSelectorEngine.test.ts"
"06AFA56AB658A05909504F0E2E78F8DFF7409F7A1CA8E7FD05D838FFC9282698","4","6642","src\wingman2\lib\productSelectorEngine.test.ts"
"06C045A1DE1C4904EE6152C1BE8073999A8142C3A83F74A3B6B1C70C84CD3CAA","2","24287","archive\_src_inline_backups\src\wingman2\pages\TemplatesPage.tsx.bak-remove-template-alpha-filter-20260627-183815"
"06C045A1DE1C4904EE6152C1BE8073999A8142C3A83F74A3B6B1C70C84CD3CAA","2","24287","archive\_src_inline_backups\src\wingman2\pages\TemplatesPage.tsx.bak-template-picker-cleanup-20260627-200806"
"06C5E386DF1CA28AADC86508F4CE13389667B3EF14F51C5E57653518AAF1A70C","4","5981",".wingman-work\backups\20260811-125215\src\wingman2\pages\productCallCardSalesHelper.characterization.test.ts"
"06C5E386DF1CA28AADC86508F4CE13389667B3EF14F51C5E57653518AAF1A70C","4","5981",".wingman-work\backups\20260811-125346\src\wingman2\pages\productCallCardSalesHelper.characterization.test.ts"
"06C5E386DF1CA28AADC86508F4CE13389667B3EF14F51C5E57653518AAF1A70C","4","5981",".wingman-work\backups\20260811-125821\src\wingman2\pages\productCallCardSalesHelper.characterization.test.ts"
"06C5E386DF1CA28AADC86508F4CE13389667B3EF14F51C5E57653518AAF1A70C","4","5981","src\wingman2\pages\productCallCardSalesHelper.characterization.test.ts"
"073C1826F38FFEBE2A28CA79A000ABE43D0DA68561BB2F231627469109921120","4","2488",".wingman-work\backups\20260811-125215\src\wingman2\lib\adminProductOverrides.ts"
"073C1826F38FFEBE2A28CA79A000ABE43D0DA68561BB2F231627469109921120","4","2488",".wingman-work\backups\20260811-125346\src\wingman2\lib\adminProductOverrides.ts"
"073C1826F38FFEBE2A28CA79A000ABE43D0DA68561BB2F231627469109921120","4","2488",".wingman-work\backups\20260811-125821\src\wingman2\lib\adminProductOverrides.ts"
"073C1826F38FFEBE2A28CA79A000ABE43D0DA68561BB2F231627469109921120","4","2488","src\wingman2\lib\adminProductOverrides.ts"
"074960E0824FF16A6B687D2A410AFED00CC84E6C9A81E2F3DC831AFCCA1B63AD","4","8236",".wingman-work\backups\20260811-125215\src\wingman2\lib\solutionTemplates.ts"
"074960E0824FF16A6B687D2A410AFED00CC84E6C9A81E2F3DC831AFCCA1B63AD","4","8236",".wingman-work\backups\20260811-125346\src\wingman2\lib\solutionTemplates.ts"
"074960E0824FF16A6B687D2A410AFED00CC84E6C9A81E2F3DC831AFCCA1B63AD","4","8236",".wingman-work\backups\20260811-125821\src\wingman2\lib\solutionTemplates.ts"
"074960E0824FF16A6B687D2A410AFED00CC84E6C9A81E2F3DC831AFCCA1B63AD","4","8236","src\wingman2\lib\solutionTemplates.ts"
"078DDA0F96CB1E5B5F114501444B6E0D9FE628D4A75F66612AE15FAD78AF9974","2","16259","archive\_wingman_backup_compare_ui_polish_20260613-204505\src\wingman2\components\compare\CompareCandidateShortlist.tsx"
"078DDA0F96CB1E5B5F114501444B6E0D9FE628D4A75F66612AE15FAD78AF9974","2","16259","archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\components\compare\CompareCandidateShortlist.tsx"
"07C0B5B908B5C474491B6D618928E21337DA6C21265881AF3942D2734759FD16","3","172285",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css"
"07C0B5B908B5C474491B6D618928E21337DA6C21265881AF3942D2734759FD16","3","172285",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css"
"07C0B5B908B5C474491B6D618928E21337DA6C21265881AF3942D2734759FD16","3","172285",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css"
"07DA136645F6327812A738205D96524E5DD5F3D4AFDC1A5BC81DF902A97BD8E6","4","9629",".wingman-work\backups\20260811-125215\src\wingman2\lib\roomTemplatePlaceholders.ts"
"07DA136645F6327812A738205D96524E5DD5F3D4AFDC1A5BC81DF902A97BD8E6","4","9629",".wingman-work\backups\20260811-125346\src\wingman2\lib\roomTemplatePlaceholders.ts"
"07DA136645F6327812A738205D96524E5DD5F3D4AFDC1A5BC81DF902A97BD8E6","4","9629",".wingman-work\backups\20260811-125821\src\wingman2\lib\roomTemplatePlaceholders.ts"
"07DA136645F6327812A738205D96524E5DD5F3D4AFDC1A5BC81DF902A97BD8E6","4","9629","src\wingman2\lib\roomTemplatePlaceholders.ts"
"07FF3E682C37F3F57FAB0F80DF53B54641B23F0A13EB488D7708948ECB70A125","2","46810",".wingman-backups\remove-product-pitch-room-visual-20260710-212457\ProductPitchPage.tsx"
"07FF3E682C37F3F57FAB0F80DF53B54641B23F0A13EB488D7708948ECB70A125","2","46810",".wingman-backups\remove-product-pitch-room-visual-v2-20260710-212645\ProductPitchPage.tsx"
"081FBE533F564B625A8F4C9F8E6D2E3EC91B665B43ED43ED76092993F86D50F1","2","6589","archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\lib\compareEquivalenceGuard.ts"
"081FBE533F564B625A8F4C9F8E6D2E3EC91B665B43ED43ED76092993F86D50F1","2","6589","reports\compare-engine-audit-20260613-105112\src_wingman2_lib_compareEquivalenceGuard.ts.full.txt"
"082D335AFB130B031F2753BB337894245DDF981C89F5F31B6306165202AC5BEB","4","8580",".wingman-work\backups\20260811-125215\src\wingman2\components\guruGlossaryLinks.tsx"
"082D335AFB130B031F2753BB337894245DDF981C89F5F31B6306165202AC5BEB","4","8580",".wingman-work\backups\20260811-125346\src\wingman2\components\guruGlossaryLinks.tsx"
"082D335AFB130B031F2753BB337894245DDF981C89F5F31B6306165202AC5BEB","4","8580",".wingman-work\backups\20260811-125821\src\wingman2\components\guruGlossaryLinks.tsx"
"082D335AFB130B031F2753BB337894245DDF981C89F5F31B6306165202AC5BEB","4","8580","src\wingman2\components\guruGlossaryLinks.tsx"
"08FC18718D0A8480AF3C08C381A98895083D1B792A3EDE9CC25940606326C484","2","8427","archive\_src_inline_backups\src\wingman2\pages\NavigationHubPages.tsx.backup-20260710-052933"
"08FC18718D0A8480AF3C08C381A98895083D1B792A3EDE9CC25940606326C484","2","8427","archive\_src_inline_backups\src\wingman2\pages\NavigationHubPages.tsx.backup-20260710-053113"
"095C1EE451F144E43BA1DBDABE9570F6B7C518BF1A4AB0093A87C9AEA6FCC07E","4","4699",".wingman-work\backups\20260811-125215\src\__tests__\finderProductFamilyRenderedFlow.test.tsx"
"095C1EE451F144E43BA1DBDABE9570F6B7C518BF1A4AB0093A87C9AEA6FCC07E","4","4699",".wingman-work\backups\20260811-125346\src\__tests__\finderProductFamilyRenderedFlow.test.tsx"
"095C1EE451F144E43BA1DBDABE9570F6B7C518BF1A4AB0093A87C9AEA6FCC07E","4","4699",".wingman-work\backups\20260811-125821\src\__tests__\finderProductFamilyRenderedFlow.test.tsx"
"095C1EE451F144E43BA1DBDABE9570F6B7C518BF1A4AB0093A87C9AEA6FCC07E","4","4699","src\__tests__\finderProductFamilyRenderedFlow.test.tsx"
"097D26AEDEF220B6B18FDD2DFBECCB61FF77D18625835F013D0DA40E9FEBB1EF","4","157",".wingman-work\backups\20260811-125215\src\wingman2\lib\schematic\index.ts"
"097D26AEDEF220B6B18FDD2DFBECCB61FF77D18625835F013D0DA40E9FEBB1EF","4","157",".wingman-work\backups\20260811-125346\src\wingman2\lib\schematic\index.ts"
"097D26AEDEF220B6B18FDD2DFBECCB61FF77D18625835F013D0DA40E9FEBB1EF","4","157",".wingman-work\backups\20260811-125821\src\wingman2\lib\schematic\index.ts"
"097D26AEDEF220B6B18FDD2DFBECCB61FF77D18625835F013D0DA40E9FEBB1EF","4","157","src\wingman2\lib\schematic\index.ts"
"09D1F83CC1CE80FA5F8139E36561289EED6FAB857A1AABDD0DB4787E03650864","4","12273",".wingman-work\backups\20260811-125215\src\wingman2\components\WingmanGuruFab.tsx"
"09D1F83CC1CE80FA5F8139E36561289EED6FAB857A1AABDD0DB4787E03650864","4","12273",".wingman-work\backups\20260811-125346\src\wingman2\components\WingmanGuruFab.tsx"
"09D1F83CC1CE80FA5F8139E36561289EED6FAB857A1AABDD0DB4787E03650864","4","12273",".wingman-work\backups\20260811-125821\src\wingman2\components\WingmanGuruFab.tsx"
"09D1F83CC1CE80FA5F8139E36561289EED6FAB857A1AABDD0DB4787E03650864","4","12273","src\wingman2\components\WingmanGuruFab.tsx"
"0A29D3E9E6096243C4414E61029F8F74F62FB3B94DDB62B477EF1CD983FE493D","4","6138",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-products-light-graphics.css"
"0A29D3E9E6096243C4414E61029F8F74F62FB3B94DDB62B477EF1CD983FE493D","4","6138",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-products-light-graphics.css"
"0A29D3E9E6096243C4414E61029F8F74F62FB3B94DDB62B477EF1CD983FE493D","4","6138",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-products-light-graphics.css"
"0A29D3E9E6096243C4414E61029F8F74F62FB3B94DDB62B477EF1CD983FE493D","4","6138","src\wingman2\styles\wingman-products-light-graphics.css"
"0A4B67015B1C4C68CCCE38403648B0DCA97823A1CBCA4C604717B42F5A7D85D5","4","4719",".wingman-work\backups\20260811-125215\src\wingman2\lib\productToolsVisualWeight.ts"
"0A4B67015B1C4C68CCCE38403648B0DCA97823A1CBCA4C604717B42F5A7D85D5","4","4719",".wingman-work\backups\20260811-125346\src\wingman2\lib\productToolsVisualWeight.ts"
"0A4B67015B1C4C68CCCE38403648B0DCA97823A1CBCA4C604717B42F5A7D85D5","4","4719",".wingman-work\backups\20260811-125821\src\wingman2\lib\productToolsVisualWeight.ts"
"0A4B67015B1C4C68CCCE38403648B0DCA97823A1CBCA4C604717B42F5A7D85D5","4","4719","src\wingman2\lib\productToolsVisualWeight.ts"
"0A8D67A263A9F9CD2889F490823E65DAF9BAE642F7C94A05204DEBC87B0D67CA","3","5978","_backups\retire-finder-feature-sweep-v3-20260720-084642\files\tools\migrate-wingman-page-frames.mjs"
"0A8D67A263A9F9CD2889F490823E65DAF9BAE642F7C94A05204DEBC87B0D67CA","3","5978","_backups\retire-finder-feature-sweep-v4-20260720-085242\files\tools\migrate-wingman-page-frames.mjs"
"0A8D67A263A9F9CD2889F490823E65DAF9BAE642F7C94A05204DEBC87B0D67CA","3","5978","_backups\retire-finder-feature-sweep-v5-20260720-085648\files\tools\migrate-wingman-page-frames.mjs"
"0B3091A1BAD8048483A1D5F5B29FF1F944E6ADF20199688205F9CEF710BDB2AD","2","87",".wingman-backups\discovery-unified-comms-20260717-115842\typecheck.log"
"0B3091A1BAD8048483A1D5F5B29FF1F944E6ADF20199688205F9CEF710BDB2AD","2","87","reports\wingman-readiness-audit-20260613-085658\10-typecheck.log"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125215\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083258.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125215\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083552.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125346\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083258.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125346\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083552.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125821\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083258.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625",".wingman-work\backups\20260811-125821\src\wingman2\components\compare\CompareShowdown.tsx.20260722-083552.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625","src\wingman2\components\compare\CompareShowdown.tsx.20260722-083258.bak"
"0BE3773A15C11A0F2BF9300F074CE3D8E57A89A20E8B4E65C9834717F4554EAC","8","12625","src\wingman2\components\compare\CompareShowdown.tsx.20260722-083552.bak"
"0C311A45A10A891C67384920C1696447E8B45A8CC3919A29AFBF54DEF5DE8DFB","4","1162012",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak"
"0C311A45A10A891C67384920C1696447E8B45A8CC3919A29AFBF54DEF5DE8DFB","4","1162012",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak"
"0C311A45A10A891C67384920C1696447E8B45A8CC3919A29AFBF54DEF5DE8DFB","4","1162012",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak"
"0C311A45A10A891C67384920C1696447E8B45A8CC3919A29AFBF54DEF5DE8DFB","4","1162012","src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak"
"0CE31D28275DE39BD64CF038793BD6FD64189696AF83B78F85026EFAF74DCB5F","3","6132","tools\audit-wingman-route-registry-direct.mjs"
"0CE31D28275DE39BD64CF038793BD6FD64189696AF83B78F85026EFAF74DCB5F","3","6132","tools\audit-wingman-route-registry-direct.mjs.20260718-190553.bak"
"0CE31D28275DE39BD64CF038793BD6FD64189696AF83B78F85026EFAF74DCB5F","3","6132","tools\audit-wingman-route-registry-direct.mjs.20260718-190611.bak"
"0D1ABC0FD74F7FF69B9B95C3947198EDCF76F0CE11D6C3EE28D4BAC48DC41C2D","4","260774",".wingman-work\backups\20260811-125215\src\wingman2\pages\ComparePageNew.advanced.tsx"
"0D1ABC0FD74F7FF69B9B95C3947198EDCF76F0CE11D6C3EE28D4BAC48DC41C2D","4","260774",".wingman-work\backups\20260811-125346\src\wingman2\pages\ComparePageNew.advanced.tsx"
"0D1ABC0FD74F7FF69B9B95C3947198EDCF76F0CE11D6C3EE28D4BAC48DC41C2D","4","260774",".wingman-work\backups\20260811-125821\src\wingman2\pages\ComparePageNew.advanced.tsx"
"0D1ABC0FD74F7FF69B9B95C3947198EDCF76F0CE11D6C3EE28D4BAC48DC41C2D","4","260774","src\wingman2\pages\ComparePageNew.advanced.tsx"
"0D741DF2591FE8E589883A951C50F83CEB44859B03528DCD19FC430C9D2AD419","4","1542",".wingman-work\backups\20260811-125215\src\wingman2\lib\schematic\schematicLayoutEngine.ts"
"0D741DF2591FE8E589883A951C50F83CEB44859B03528DCD19FC430C9D2AD419","4","1542",".wingman-work\backups\20260811-125346\src\wingman2\lib\schematic\schematicLayoutEngine.ts"
"0D741DF2591FE8E589883A951C50F83CEB44859B03528DCD19FC430C9D2AD419","4","1542",".wingman-work\backups\20260811-125821\src\wingman2\lib\schematic\schematicLayoutEngine.ts"
"0D741DF2591FE8E589883A951C50F83CEB44859B03528DCD19FC430C9D2AD419","4","1542","src\wingman2\lib\schematic\schematicLayoutEngine.ts"
"0E1D32472C77AA3FA2E34F035A53B068919B48272E796B02E0EB9BD5C9BC59C4","4","26262",".wingman-work\backups\20260811-125215\src\wingman2\lib\documentIngest\multiSkuCompetitorIngest.ts"
"0E1D32472C77AA3FA2E34F035A53B068919B48272E796B02E0EB9BD5C9BC59C4","4","26262",".wingman-work\backups\20260811-125346\src\wingman2\lib\documentIngest\multiSkuCompetitorIngest.ts"
"0E1D32472C77AA3FA2E34F035A53B068919B48272E796B02E0EB9BD5C9BC59C4","4","26262",".wingman-work\backups\20260811-125821\src\wingman2\lib\documentIngest\multiSkuCompetitorIngest.ts"
"0E1D32472C77AA3FA2E34F035A53B068919B48272E796B02E0EB9BD5C9BC59C4","4","26262","src\wingman2\lib\documentIngest\multiSkuCompetitorIngest.ts"
"0E64A3007B2A18F6E23312D17CEF4279AE8ED9A770DD5C5FBAFF02E04FEDB668","4","582",".wingman-work\backups\20260811-125215\src\wingman2\lib\useDebouncedValue.ts"
"0E64A3007B2A18F6E23312D17CEF4279AE8ED9A770DD5C5FBAFF02E04FEDB668","4","582",".wingman-work\backups\20260811-125346\src\wingman2\lib\useDebouncedValue.ts"
"0E64A3007B2A18F6E23312D17CEF4279AE8ED9A770DD5C5FBAFF02E04FEDB668","4","582",".wingman-work\backups\20260811-125821\src\wingman2\lib\useDebouncedValue.ts"
"0E64A3007B2A18F6E23312D17CEF4279AE8ED9A770DD5C5FBAFF02E04FEDB668","4","582","src\wingman2\lib\useDebouncedValue.ts"
"0EB5597713E1F73A90F7C513C21D3C3A005A903E73F7BC0A80E27FF38123B273","4","70125",".wingman-work\backups\20260811-125215\src\wingman2\components\WingmanGuruDrawer.tsx"
"0EB5597713E1F73A90F7C513C21D3C3A005A903E73F7BC0A80E27FF38123B273","4","70125",".wingman-work\backups\20260811-125346\src\wingman2\components\WingmanGuruDrawer.tsx"
"0EB5597713E1F73A90F7C513C21D3C3A005A903E73F7BC0A80E27FF38123B273","4","70125",".wingman-work\backups\20260811-125821\src\wingman2\components\WingmanGuruDrawer.tsx"
"0EB5597713E1F73A90F7C513C21D3C3A005A903E73F7BC0A80E27FF38123B273","4","70125","src\wingman2\components\WingmanGuruDrawer.tsx"
"0EE1B2C16D181F2450F97E051543A2546811D6E27D4371396A0DFF4415803B6D","4","82644",".wingman-work\backups\20260811-125215\src\wingman2\pages\DiscoveryPage.tsx.20260713-172759.bak"
"0EE1B2C16D181F2450F97E051543A2546811D6E27D4371396A0DFF4415803B6D","4","82644",".wingman-work\backups\20260811-125346\src\wingman2\pages\DiscoveryPage.tsx.20260713-172759.bak"
"0EE1B2C16D181F2450F97E051543A2546811D6E27D4371396A0DFF4415803B6D","4","82644",".wingman-work\backups\20260811-125821\src\wingman2\pages\DiscoveryPage.tsx.20260713-172759.bak"
"0EE1B2C16D181F2450F97E051543A2546811D6E27D4371396A0DFF4415803B6D","4","82644","src\wingman2\pages\DiscoveryPage.tsx.20260713-172759.bak"
"0F087F2760850DE1D2374185D600630B783FD8523C5FAEBF568F1AA34ECC028E","2","19555","archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_navhub_density_20260630-141138\src\wingman2\styles\wingman-redesign-theme.css"
