"Path","TopFolder","Extension","Bytes","KB"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-compact-hover-20260707-190408.bak","archive",".bak","2269628","2216.43"
"archive\_wingman_backup_discovery_visual_cards_20260616-091351\wingman-style-stack.css.bak","archive",".bak","1998335","1951.5"
"archive\repo-cleanup-20260709-050830\root-artifacts\data.zip","archive",".zip","1703266","1663.35"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-space-use-20260707-190115.bak","archive",".bak","1602673","1565.11"
"archive\repo-cleanup-20260709-050830\root-artifacts\data-sources.zip","archive",".zip","1394329","1361.65"
"archive\_wingman_backup_discovery_visual_cards_20260616-091054\wingman-style-stack.css.bak","archive",".bak","1336581","1305.25"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\focused-text-hygiene-and-build-fix.utf8.patch","archive",".patch","1312112","1281.36"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.dashboard-no-scroll-crop-20260707-185726.bak","archive",".bak","1304965","1274.38"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.dashboard-no-scroll-crop-20260707-185700.bak","archive",".bak","1167302","1139.94"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak",".wingman-work",".bak","1162012","1134.78"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak",".wingman-work",".bak","1162012","1134.78"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak",".wingman-work",".bak","1162012","1134.78"
"src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak","src",".bak","1162012","1134.78"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css.20260712-143821.bak",".wingman-work",".bak","1161971","1134.74"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css.20260712-143821.bak",".wingman-work",".bak","1161971","1134.74"
"src\wingman2\styles\wingman-style-stack.css.20260712-143821.bak","src",".bak","1161971","1134.74"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css.20260712-143821.bak",".wingman-work",".bak","1161971","1134.74"
"backups\visual-studio-connectivity-layout-fix-20260712-130000\src\wingman2\styles\wingman-style-stack.css","backups",".css","1158510","1131.36"
"backups\visual-studio-viewport-fix-20260712-124259\src\wingman2\styles\wingman-style-stack.css","backups",".css","1155951","1128.86"
"backups\visual-studio-fit-header-fix-20260712-124959\src\wingman2\styles\wingman-style-stack.css","backups",".css","1155951","1128.86"
"backups\visual-studio-viewport-fix-20260712-123722\src\wingman2\styles\wingman-style-stack.css","backups",".css","1152884","1125.86"
"backups\visual-studio-viewport-fix-20260712-123926\src\wingman2\styles\wingman-style-stack.css","backups",".css","1152884","1125.86"
"src\wingman2\styles\wingman-style-stack.css.before-visual-tidy.bak","src",".bak","1148301","1121.39"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css.before-visual-tidy.bak",".wingman-work",".bak","1148301","1121.39"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css.before-visual-tidy.bak",".wingman-work",".bak","1148301","1121.39"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css.before-visual-tidy.bak",".wingman-work",".bak","1148301","1121.39"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-functional-compare-20260610-210328","archive",".bak-functional-compare-20260610-210328","1133118","1106.56"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-no-stretch-20260610-205544","archive",".bak-compare-no-stretch-20260610-205544","1130285","1103.79"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-right-rail-compact-20260610-205812","archive",".bak-compare-right-rail-compact-20260610-205812","1129436","1102.96"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-safe-scope-20260610-203906","archive",".bak-sales-helper-safe-scope-20260610-203906","1126226","1099.83"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-density-20260610-205338","archive",".bak-compare-density-20260610-205338","1125203","1098.83"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-card-shape-fonts-20260610-205106","archive",".bak-sales-helper-card-shape-fonts-20260610-205106","1124087","1097.74"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-readable-fit-20260610-204247","archive",".bak-sales-helper-readable-fit-20260610-204247","1123139","1096.82"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-pages-20260610-204722","archive",".bak-sales-helper-pages-20260610-204722","1122147","1095.85"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-route-fit-20260610-203713","archive",".bak-sales-helper-route-fit-20260610-203713","1121862","1095.57"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-fit-viewport-20260610-203514","archive",".bak-sales-helper-fit-viewport-20260610-203514","1119341","1093.11"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-final-compact-20260610-204112","archive",".bak-sales-helper-final-compact-20260610-204112","1119276","1093.04"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-sales-helper-compact-20260610-203224","archive",".bak-sales-helper-compact-20260610-203224","1115428","1089.29"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.final-dashboard-bottom-crop-20260707-185426.bak","archive",".bak","1106972","1081.03"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.dashboard-route-crop-20260707-185107.bak","archive",".bak","1081430","1056.08"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.blank-space-fix-20260707-184203.bak","archive",".bak","1066585","1041.59"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.dashboard-scale-15-20260707-184655.bak","archive",".bak","1066408","1041.41"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.blank-space-fix-20260707-184434.bak","archive",".bak","1060961","1036.09"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-hard-compact-20260707-184126.bak","archive",".bak","1060696","1035.84"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.backup-status-contrast-20260707-065600","archive",".backup-status-contrast-20260707-065600","1060290","1035.44"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.blank-space-fix-20260707-184214.bak","archive",".bak","1058513","1033.7"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.compact-second-pass-20260707-184030.bak","archive",".bak","1054712","1029.99"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.compact-header-sweep-20260707-183751.bak","archive",".bak","1050655","1026.03"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.compact-page-header-backup-20260707-183543.bak","archive",".bak","1042763","1018.32"
"archive\_wingman_backup_discovery_rectangles_20260616-090701\wingman-style-stack.css.bak","archive",".bak","1041090","1016.69"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-remove-alpha-css-hacks-20260628-045857","archive",".bak-remove-alpha-css-hacks-20260628-045857","1020845","996.92"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-discovery-25pc-compact-20260627-201757","archive",".bak-discovery-25pc-compact-20260627-201757","1016148","992.33"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-picker-cleanup-20260627-200806","archive",".bak-template-picker-cleanup-20260627-200806","1016080","992.27"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_viewport_20260706-064746\wingman-style-stack.css","archive",".css","1015895","992.08"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-alpha-css-clean-20260628-050052","archive",".bak-alpha-css-clean-20260628-050052","1015700","991.89"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_20260701-163338\src\wingman2\styles\wingman-style-stack.css","archive",".css","1014601","990.82"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-hide-alpha-stray-text-20260627-194246","archive",".bak-hide-alpha-stray-text-20260627-194246","1014115","990.35"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-prune-alpha-readout-20260627-194017","archive",".bak-prune-alpha-readout-20260627-194017","1012713","988.98"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-before-real-compact-20260627-181521","archive",".bak-before-real-compact-20260627-181521","1012694","988.96"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-real-compact-template-jsx-20260627-182649","archive",".bak-real-compact-template-jsx-20260627-182649","1012694","988.96"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-repair-current-diff-20260627-191539","archive",".bak-repair-current-diff-20260627-191539","1011206","987.51"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-disable-alpha-readout-dom-20260627-191207","archive",".bak-disable-alpha-readout-dom-20260627-191207","1011115","987.42"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-collapse-product-call-card-gap-20260627-193650","archive",".bak-collapse-product-call-card-gap-20260627-193650","1011048","987.35"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-disable-alpha-readout-dom-20260627-191018","archive",".bak-disable-alpha-readout-dom-20260627-191018","1010956","987.26"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compact-template-cards-20260627-180256","archive",".bak-compact-template-cards-20260627-180256","1009565","985.9"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-consolidate-live-call-cards-20260627-142107","archive",".bak-consolidate-live-call-cards-20260627-142107","1006146","982.56"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-style-drift-sweep-20260627-111512","archive",".bak-style-drift-sweep-20260627-111512","990992","967.77"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-manufacturer-auto-advance-20260627-110806","archive",".bak-compare-manufacturer-auto-advance-20260627-110806","989056","965.88"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-manufacturer-assist-20260627-110542","archive",".bak-compare-manufacturer-assist-20260627-110542","986439","963.32"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-decision-flow-20260627-110027","archive",".bak-template-decision-flow-20260627-110027","981814","958.8"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-staged-button-state-20260627-105338","archive",".bak-template-staged-button-state-20260627-105338","979757","956.79"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-staged-whole-card-glow-20260627-105108","archive",".bak-staged-whole-card-glow-20260627-105108","976965","954.07"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-staged-action-container-glow-20260627-095437","archive",".bak-staged-action-container-glow-20260627-095437","975410","952.55"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-proposal-handoff-20260627-094536","archive",".bak-template-proposal-handoff-20260627-094536","973492","950.68"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-stage-highlight-20260627-095008","archive",".bak-template-stage-highlight-20260627-095008","973492","950.68"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-proposal-handoff-20260627-094422","archive",".bak-template-proposal-handoff-20260627-094422","969574","946.85"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-client-safe-complete-template-builder-20260627-091822","archive",".bak-client-safe-complete-template-builder-20260627-091822","968543","945.84"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-hide-legacy-discovery-20260627-090437","archive",".bak-hide-legacy-discovery-20260627-090437","966936","944.27"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-remove-discovery-flow-and-unanswered-20260627-090110","archive",".bak-remove-discovery-flow-and-unanswered-20260627-090110","965162","942.54"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-solution-builder-20260627-085516","archive",".bak-template-solution-builder-20260627-085516","961545","939.01"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-seed-repair-20260627-075833","archive",".bak-template-seed-repair-20260627-075833","961545","939.01"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-discovery-seed-20260627-075622","archive",".bak-template-discovery-seed-20260627-075622","957332","934.89"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-library-padding-20260627-072535","archive",".bak-template-library-padding-20260627-072535","955290","932.9"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-style-refresh-20260627-071725","archive",".bak-template-style-refresh-20260627-071725","955290","932.9"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-library-refresh-20260627-071138","archive",".bak-template-library-refresh-20260627-071138","955290","932.9"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-template-library-refresh-20260627-070946","archive",".bak-template-library-refresh-20260627-070946","947561","925.35"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-remove-navhub-submodes-20260627-062801","archive",".bak-remove-navhub-submodes-20260627-062801","947004","924.81"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-remove-info-pills-20260627-062457","archive",".bak-remove-info-pills-20260627-062457","944961","922.81"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-project-section-header-padding-20260627-055934","archive",".bak-project-section-header-padding-20260627-055934","943500","921.39"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-hide-project-details-marker-20260627-055225","archive",".bak-hide-project-details-marker-20260627-055225","942426","920.34"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-project-heading-scroll-20260627-054828","archive",".bak-project-heading-scroll-20260627-054828","940467","918.42"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-project-header-arrows-20260627-054533","archive",".bak-project-header-arrows-20260627-054533","940467","918.42"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-project-header-arrows-20260627-054429","archive",".bak-project-header-arrows-20260627-054429","939337","917.32"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-finder-stepper-state-20260622-202224","archive",".bak-finder-stepper-state-20260622-202224","928348","906.59"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-finder-select-contrast-20260622-201559","archive",".bak-finder-select-contrast-20260622-201559","925834","904.13"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-single-column-20260622-194236","archive",".bak-guru-single-column-20260622-194236","923665","902.02"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-message-contrast-20260622-201011","archive",".bak-guru-message-contrast-20260622-201011","923665","902.02"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-single-column-20260622-194055","archive",".bak-guru-single-column-20260622-194055","920022","898.46"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-final-tidy-20260622-161420","archive",".bak-guru-final-tidy-20260622-161420","915474","894.02"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-css-encoding-final-20260622-162558","archive",".bak-css-encoding-final-20260622-162558","915267","893.82"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-portal-20260622-161122","archive",".bak-guru-portal-20260622-161122","914117","892.69"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-final-restore-20260622-151819","archive",".bak-guru-final-restore-20260622-151819","911695","890.33"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-pill-cleanup-20260622-141917","archive",".bak-pill-cleanup-20260622-141917","911577","890.21"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-encoding-repair-20260622-142147","archive",".bak-encoding-repair-20260622-142147","911242","889.88"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-remove-unrelated-compare-css-20260622-142445","archive",".bak-remove-unrelated-compare-css-20260622-142445","911236","889.88"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-clean-final-20260622-161818","archive",".bak-guru-clean-final-20260622-161818","911164","889.81"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-compact-20260622-162317","archive",".bak-guru-compact-20260622-162317","911164","889.81"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-clean-final-20260622-161750","archive",".bak-guru-clean-final-20260622-161750","911164","889.81"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-guru-visibility-fix-20260622-150850","archive",".bak-guru-visibility-fix-20260622-150850","910082","888.75"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-final-pill-diff-tidy-20260622-142555","archive",".bak-final-pill-diff-tidy-20260622-142555","910082","888.75"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-20260622-141130","archive",".bak-20260622-141130","909957","888.63"
"archive\_wingman_backup_simplified_discovery_20260616-084529\wingman-style-stack.css.bak","archive",".bak","906178","884.94"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-dropdown-dark-20260610-150320","archive",".bak-compare-dropdown-dark-20260610-150320","894291","873.33"
"archive\_wingman_backup_add_no_usb_option_20260616-083943\wingman-style-stack.css.bak","archive",".bak","846212","826.38"
"archive\_wingman_backup_fix_discovery_qty_20260616-082219\wingman-style-stack.css.bak","archive",".bak","819295","800.09"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\branch-cleanup\codex-restore-uc.diff","archive",".diff","807087","788.17"
"archive\_wingman_backup_discovery_context_rules_20260616-075050\wingman-style-stack.css.bak","archive",".bak","805597","786.72"
"archive\_wingman_backup_replace_discovery_multi_inputs_20260616-074600\wingman-style-stack.css.bak","archive",".bak","800217","781.46"
"archive\_wingman_backup_hide_legacy_discovery_ranges_20260616-074135\wingman-style-stack.css.bak","archive",".bak","797800","779.1"
"archive\_wingman_backup_discovery_multi_select_io_20260616-073542\wingman-style-stack.css.bak","archive",".bak","796646","777.97"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.bak-compare-scroll-20260610-145807","archive",".bak-compare-scroll-20260610-145807","793341","774.75"
"archive\_wingman_backup_discovery_multi_inputs_20260616-073047\wingman-style-stack.css.bak","archive",".bak","792158","773.59"
"archive\_src_inline_backups\src\wingman2\styles\wingman-style-stack.css.backup-compare-density-20260615-121247","archive",".backup-compare-density-20260615-121247","790740","772.21"
"archive\_wingman_backup_hard_scroll_fix_20260616-072433\wingman-style-stack.css.bak","archive",".bak","786386","767.96"
"archive\_wingman_backup_archive_call_cards_20260616-071326\wingman-style-stack.css.bak","archive",".bak","785405","767"
"archive\_wingman_backup_page_scrollbar_20260616-071614\wingman-style-stack.css.bak","archive",".bak","783334","764.97"
"archive\_wingman_backup_call_cards_simple_20260616-070720\wingman-style-stack.css.bak","archive",".bak","782339","764"
"archive\_wingman_backup_fix_guru_drawer_scope_20260616-070306\wingman-style-stack.css.bak","archive",".bak","782273","763.94"
"archive\_wingman_backup_compare_native_cleanup_20260615-133847\src\wingman2\styles\wingman-style-stack.css","archive",".css","781318","763.01"
"archive\_wingman_backup_compare_cleanup_20260615-181403\src\wingman2\styles\wingman-style-stack.css","archive",".css","780936","762.63"
"archive\_wingman_backup_guru_mic_fix_20260616-064234\wingman-style-stack.css.bak","archive",".bak","780274","761.99"
"archive\_wingman_backup_compare_decision_focus_20260615-132537\src\wingman2\styles\wingman-style-stack.css","archive",".css","779982","761.7"
"archive\_wingman_backup_compare_native_ui_20260615-211613\wingman-style-stack.css","archive",".css","779061","760.8"
"archive\_wingman_backup_compare_more_button_20260615-203726\wingman-style-stack.css","archive",".css","779061","760.8"
"archive\_wingman_backup_compare_sku_auto_run_20260615-131718\src\wingman2\styles\wingman-style-stack.css","archive",".css","778724","760.47"
"archive\_wingman_backup_discovery_stronger_layout_20260614-195904\wingman-style-stack.css.bak","archive",".bak","778383","760.14"
"archive\_wingman_backup_videowall_wizard_20260615-224310\wingman-style-stack.css.bak","archive",".bak","778278","760.04"
"archive\_wingman_backup_actual_videowall_workflow_20260615-224721\wingman-style-stack.css.bak","archive",".bak","777978","759.74"
"archive\_wingman_backup_videowall_visual_studio_20260616-063623\wingman-style-stack.css.bak","archive",".bak","777976","759.74"
"archive\_wingman_backup_compare_invalid_sku_guard_20260615-131124\src\wingman2\styles\wingman-style-stack.css","archive",".css","777635","759.41"
"archive\_wingman_backup_compare_match_detection_fix_20260615-125107\src\wingman2\styles\wingman-style-stack.css","archive",".css","777635","759.41"
"archive\_wingman_backup_compare_more_button_20260615-203436\wingman-style-stack.css","archive",".css","777575","759.35"
"archive\_wingman_backup_compare_match_presentation_20260615-124852\src\wingman2\styles\wingman-style-stack.css","archive",".css","776663","758.46"
"archive\_wingman_backup_compare_start_reset_20260615-124430\src\wingman2\styles\wingman-style-stack.css","archive",".css","776254","758.06"
"archive\_wingman_backup_discovery_layout_20260614-194910\wingman-style-stack.css.bak","archive",".bak","775476","757.3"
"archive\_wingman_backup_before_css_cleanup_20260614-195236\wingman-style-stack.css.current.bak","archive",".bak","775476","757.3"
"archive\_wingman_backup_compare_run_action_guard_20260615-123854\src\wingman2\styles\wingman-style-stack.css","archive",".css","773836","755.7"
"archive\_wingman_backup_compare_visual_route_bridge_20260615-202629\wingman-style-stack.css","archive",".css","773671","755.54"
"archive\_wingman_backup_discovery_hero_cleanup_20260614-200225\wingman-style-stack.css.bak","archive",".bak","773302","755.18"
"archive\_wingman_backup_compare_filter_logic_guard_20260615-123108\src\wingman2\styles\wingman-style-stack.css","archive",".css","773087","754.97"
"archive\_wingman_backup_compare_sku_filter_state_guard_20260615-122531\src\wingman2\styles\wingman-style-stack.css","archive",".css","772808","754.7"
"archive\_wingman_backup_before_css_restore_20260614-200432\wingman-style-stack.css.current.bak","archive",".bak","772577","754.47"
"archive\_wingman_backup_discovery_hero_cleanup_20260614-200310\wingman-style-stack.css.bak","archive",".bak","772577","754.47"
"archive\_wingman_backup_actual_sku_alpha_filter_20260615-122021\src\wingman2\styles\wingman-style-stack.css","archive",".css","772423","754.32"
"archive\_wingman_backup_videowall_wizard_20260615-224023\wingman-style-stack.css.bak","archive",".bak","770003","751.96"
"archive\_wingman_backup_compare_workflow_split_20260615-120833\src\wingman2\styles\wingman-style-stack.css","archive",".css","767354","749.37"
"archive\_wingman_backup_discovery_layout_20260614-194733\wingman-style-stack.css.bak","archive",".bak","765573","747.63"
"archive\_wingman_backup_product_callcards_sticky_layout_20260615-113741\src\wingman2\styles\wingman-style-stack.css","archive",".css","765137","747.2"
"archive\_wingman_backup_compare_polished_results_20260615-202245\wingman-style-stack.css","archive",".css","764857","746.93"
