"File","Line","Text"
"src\wingman2\styles\wingman-workflow-theme.css","3074","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-actions {"
"src\wingman2\styles\wingman-workflow-theme.css","3081","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-actions .wm-ui-button {"
"src\wingman2\styles\wingman-workflow-theme.css","3088","html[data-wingman-route=""discovery""] .wm-discovery-compact-stepbar {"
"src\wingman2\styles\wingman-workflow-theme.css","3093","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-actions {"
"src\wingman2\styles\wingman-workflow-theme.css","3098","/* WINGMAN_DISCOVERY_COMPACT_NAV_END */"
"src\wingman2\styles\wingman-workflow-theme.css","3444","html[data-wingman-route=""templates""] .wm-template-compact-header { min-height:0!important; max-height:none!important; margin:0!important; padding:10px 14px!important; border-radius:13px!important; }"
"src\wingman2\styles\wingman-workflow-theme.css","4433","/* ADMIN Data Manager: shared Wingman surfaces, compact tables and structured editing. */"
"src\wingman2\styles\wingman-workflow-theme.css","4434",".wingman-nav-section-label{display:block;margin:14px 14px 4px;color:var(--wm-text-muted);font-size:.65rem;font-weight:650;letter-spacing:.12em;text-transform:uppercase}.wm-data-manager-page{max-width:1500px;margin:0 auto;padding:20px 24px 44px;color:var(--wm-text)}.wm-data-manager-header{display:flex;align-items:center;justify-content:space-between;gap:20px;padding-bottom:15px;border-bottom:1px solid var(--wm-border)}.wm-data-manager-header h1{margin:2px 0 3px;font-size:1.65rem}.wm-data-manager-header p{margin:0;color:var(--wm-text-muted)}.wm-data-tabs{display:flex;overflow:auto;gap:2px;margin:14px 0;border-bottom:1px solid var(--wm-border)}.wm-data-tabs button{min-width:max-content;padding:9px 12px;border:0;border-bottom:2px solid transparent;background:transparent;color:var(--wm-text-muted);font-size:.76rem}.wm-data-tabs button.is-active{border-bottom-color:var(--wm-accent,#e85d04);color:var(--wm-text);font-weight:650}.wm-data-toolbar{display:grid;grid-template-columns:minmax(230px,1.5fr) repeat(4,minmax(120px,.7fr));align-items:center;gap:8px;padding:12px;margin-bottom:12px}.wm-data-toolbar select,.wm-data-toolbar input,.wm-data-editor input,.wm-data-editor textarea,.wm-data-editor select{border:1px solid var(--wm-border);border-radius:7px;background:var(--wm-background);color:var(--wm-text);font:inherit}.wm-data-toolbar select{height:36px;padding:0 8px;font-size:.74rem}.wm-data-toolbar>label:not(.wm-data-search){display:flex;align-items:center;gap:5px;font-size:.7rem;color:var(--wm-text-muted)}.wm-data-search{display:flex;align-items:center;gap:7px;height:36px;padding:0 9px;border:1px solid var(--wm-border);border-radius:7px;background:var(--wm-background)}.wm-data-search svg{width:15px;color:var(--wm-text-muted)}.wm-data-search input{width:100%;border:0;outline:0;background:transparent}.wm-data-table-card{overflow:hidden}.wm-data-table-card>header{display:flex;align-items:center;justify-content:space-between;padding:13px 15px;border-bottom:1px solid var(--wm-border)}.wm-data-table-card h2{margin:0;font-size:1rem}.wm-data-table-card p{margin:3px 0 0;color:var(--wm-text-muted);font-size:.72rem}.wm-data-table-card header button,.wm-data-row-actions button,.wm-impact-panel button,.wm-data-form-section>button,.wm-repeat-row button,.wm-data-editor details button{display:inline-flex;align-items:center;gap:4px;border:1px solid var(--wm-border);border-radius:6px;padding:5px 7px;background:var(--wm-surface);color:var(--wm-text);font-size:.7rem}.wm-data-table-card button svg{width:13px}.wm-data-table-scroll{overflow:auto;max-height:620px}.wm-data-table{width:100%}.wm-data-table-card table{width:100%;border-collapse:collapse;font-size:.76rem}.wm-data-table-card th{position:sticky;top:0;z-index:1;padding:8px 12px;background:var(--wm-surface-muted);color:var(--wm-text-muted);text-align:left;font-size:.67rem;text-transform:uppercase;letter-spacing:.04em}.wm-data-table-card td{padding:10px 12px;border-top:1px solid var(--wm-border);vertical-align:middle}.wm-data-table-card td span,.wm-data-table-card td small{display:block;margin-top:2px;color:var(--wm-text-muted);font-size:.68rem}.wm-data-row-actions{display:flex;flex-wrap:wrap;gap:4px;min-width:210px}.wm-validation-good{display:flex!important;align-items:center;gap:4px;color:var(--wm-success)!important}.wm-validation-good svg{width:13px}.wm-validation-bad{color:var(--wm-warning)!important}.wm-data-message{position:fixed;right:20px;bottom:20px;z-index:90;max-width:520px;padding:10px 14px;border:1px solid var(--wm-border);border-radius:9px;background:var(--wm-surface);box-shadow:var(--wm-shadow);font-size:.78rem}.wm-admin-denied,.wm-data-placeholder{display:grid;place-items:center;max-width:720px;margin:80px auto;padding:40px;text-align:center}.wm-admin-denied svg,.wm-data-placeholder>svg{width:34px;color:var(--wm-text-muted)}.wm-data-placeholder h1,.wm-data-placeholder h2{margin:10px 0 4px}.wm-data-placeholder p{color:var(--wm-text-muted)}.wm-data-placeholder>div{display:flex;gap:8px}.wm-data-editor-backdrop{position:fixed;inset:0;z-index:100;display:flex;justify-content:flex-end}.wm-data-editor-scrim{position:absolute;inset:0;border:0;background:rgba(4,10,16,.62)}.wm-data-editor{position:relative;display:grid;grid-template-rows:auto minmax(0,1fr) auto;width:min(900px,94vw);height:100%;background:var(--wm-background);border-left:1px solid var(--wm-border);box-shadow:-16px 0 44px rgba(0,0,0,.28)}.wm-data-editor>header,.wm-data-editor>footer{display:flex;align-items:center;justify-content:space-between;gap:10px;padding:14px 18px;background:var(--wm-surface);border-bottom:1px solid var(--wm-border)}.wm-data-editor>footer{justify-content:flex-end;border-top:1px solid var(--wm-border);border-bottom:0}.wm-data-editor>header h2{margin:2px 0 0;font-size:1.2rem}.wm-data-editor>header>button{border:0;background:transparent;color:var(--wm-text)}.wm-data-editor-body{overflow:auto;padding:17px}.wm-data-form-section{margin:0 0 12px;padding:12px;border:1px solid var(--wm-border);border-radius:9px;background:var(--wm-surface)}.wm-data-form-section legend{padding:0 5px;font-size:.75rem;font-weight:650;text-transform:uppercase;letter-spacing:.05em}.wm-data-form-section>div{display:grid;grid-template-columns:1fr 1fr;gap:9px}.wm-data-form-section label{display:grid;gap:4px;color:var(--wm-text-muted);font-size:.7rem}.wm-data-form-section label.is-wide{grid-column:1/-1}.wm-data-editor input,.wm-data-editor textarea,.wm-data-editor select{width:100%;padding:8px 9px}.wm-data-editor textarea{min-height:68px;resize:vertical}.wm-field-error{color:var(--wm-danger)!important}.wm-repeat-row{display:grid!important;grid-template-columns:1fr 100px auto!important;gap:7px;margin-bottom:7px}.wm-data-editor details{margin:12px 0;padding:12px;border:1px solid var(--wm-border);border-radius:9px}.wm-data-editor details textarea{min-height:260px;margin:10px 0;font-family:monospace;font-size:.72rem}.wm-before-after{display:grid;grid-template-columns:1fr 1fr;gap:10px}.wm-before-after>div{min-width:0;padding:10px;border:1px solid var(--wm-border);border-radius:8px;background:var(--wm-surface)}.wm-before-after pre{overflow:auto;max-height:330px;font-size:.65rem}.wm-impact-panel{margin:12px 0;padding:12px;border-left:3px solid var(--wm-accent,#e85d04);background:var(--wm-surface)}.wm-impact-panel h3{margin:0 0 5px;font-size:.8rem}.wm-impact-panel p{color:var(--wm-text-muted);font-size:.72rem}.wm-impact-panel button{margin-top:5px}@media(max-width:1100px){.wm-data-toolbar{grid-template-columns:1fr 1fr 1fr}.wm-data-search{grid-column:1/-1}}@media(max-width:700px){.wm-data-manager-page{padding:14px}.wm-data-manager-header{align-items:flex-start;flex-direction:column}.wm-data-toolbar{grid-template-columns:1fr}.wm-data-search{grid-column:auto}.wm-data-form-section>div,.wm-before-after{grid-template-columns:1fr}.wm-data-form-section label.is-wide{grid-column:auto}}"
"src\wingman2\styles\wingman-workflow-theme.css","4655","/* WINGMAN_DATA_MANAGER_COMPACT_CHROME_START */"
"src\wingman2\styles\wingman-workflow-theme.css","4912","/* WINGMAN_DATA_MANAGER_COMPACT_CHROME_END */"
"src\wingman2\styles\wingman-workflow-theme.css","5373","/* WINGMAN DATA MANAGER COMPACT VIEWPORT - START */"
"src\wingman2\styles\wingman-workflow-theme.css","5631","/* WINGMAN DATA MANAGER COMPACT VIEWPORT - END */"
"src\wingman2\styles\wingman-workflow-theme.css","5633","/* WINGMAN DATA MANAGER SPECIFICITY FIX - START */"
"src\wingman2\styles\wingman-workflow-theme.css","5858","/* WINGMAN DATA MANAGER SPECIFICITY FIX - END */"
